N,carrier_gain_difference,carrier_power_balance_error,carrier_separation_quality,converged,dx_um,fixture,geometry,harmonic_1_magnitude,harmonic_1_phase_rad,harmonic_1_relative_to_K,harmonic_1_resolution,harmonic_2_magnitude,harmonic_2_phase_rad,harmonic_2_relative_to_K,harmonic_2_resolution,harmonic_3_magnitude,harmonic_3_phase_rad,harmonic_3_relative_to_K,harmonic_3_resolution,launch_attenuation,linear_response_rms,m,material_abs_L2_vs_linearized,material_max_abs_vs_linearized,material_rel_L2_vs_linearized,model,optical_rel_L2_vs_linearized,output_intensity_rel_L2_vs_linearized,periodic_fundamental_bin_offsets,periodic_fundamental_commensurate,periodic_fundamental_mode_components,points_per_2K,points_per_3K,points_per_K,power_drift,pump_delta_power_normalized,pump_gain,pump_power_input_normalized,pump_power_output_normalized,reference_intensity,resolution_2K,resolution_3K,resolution_K,runtime_s,signal_delta_power_normalized,signal_gain,signal_power_input_normalized,signal_power_output_normalized,study,total_power_mW
256,1.1101140966826937,5.551115123125783e-17,0.9999999999999989,True,0.78125,gaussian_20um,45deg,0.001582865886371048,1.729943823444268,1.0,marginal,,,,underresolved,,,,underresolved,none,0.00781929965772427,1.0,0.03681980020195387,1.731281809912682,4.708836061239743,reduced_nonlinear,0.25881970619727784,0.3144694597301943,"[0.28932188134524495, 0.28932188134524495]",False,"[70.71067811865476, -70.71067811865476]",1.28,0.8533333333333334,2.56,2.098321516541546e-14,-0.27752852417066304,0.4449429516586739,0.5,0.22247147582933696,1.01,underresolved,underresolved,marginal,5.529829749983037,0.27752852417068374,1.5550570483413675,0.5,0.7775285241706837,production_static,2.0
256,0.37913609162758033,-1.1102230246251565e-16,0.9999999999999989,True,0.78125,gaussian_20um,45deg,3.447953919525168e-05,1.5782515757783881,1.0,marginal,,,,underresolved,,,,underresolved,none,0.00781929965772427,1.0,0.03681980020195387,1.731281809912682,4.708836061239743,reduced_linearized,0.25881970619727784,0.3144694597301943,"[0.28932188134524495, 0.28932188134524495]",False,"[70.71067811865476, -70.71067811865476]",1.28,0.8533333333333334,2.56,2.0539125955565396e-14,-0.09478402290688492,0.8104319541862302,0.5,0.4052159770931151,1.01,underresolved,underresolved,marginal,3.1898277919972315,0.09478402290690524,1.1895680458138105,0.5,0.5947840229069052,production_static,2.0
