kg_rad_per_um,kg_over_kD,C_RK,R_K_minus_one_exponent,C_fit_relative_rms,A2_exponent,A3_exponent
0.25,0.05837175145702132,0.2512062206875638,2.002019855383699,0.0009032272213627052,2.0020198331595296,3.003029780045443
0.5,0.11674350291404265,0.2512879143125431,2.002021048071294,0.0009037612412250406,2.0020207426610166,3.0030314199685346
0.75,0.17511525437106398,0.2516056927243397,2.0020251725078984,0.0009056043542890404,2.0020239485384037,3.0030365607978755
1.0,0.2334870058280853,0.2523393866320547,2.0020333741808503,0.0009092697946253332,2.002030476144845,3.0030457097337604
1.5,0.35023050874212797,0.2554682378482473,2.002060625795049,0.0009214474499347024,2.002052826424901,3.003071541241186
2.0,0.4669740116561706,0.2606168366067789,2.002094991828032,0.0009368013838087918,2.002081081745038,3.003099070583164
3.141592653589793,0.73352106221819,0.2742119745606002,2.0021657692750043,0.0009684129817756185,2.002134791586535,3.0031486961438953
4.282893587390008,1.0,0.2827247655982558,2.0022031572101007,0.000985108134252759,2.0021615307042024,3.003175164204836
6.0,1.4009220349685119,0.2844915890889877,2.002203422172331,0.0009852223414043891,2.0021657248228375,3.0031797372415725
8.0,1.8678960466246823,0.27948544477735127,2.0021704676682988,0.0009705009634727793,2.0021457839141483,3.00315979956445
