kg_rad_per_um,kg_over_kD,domain_length_um,grid_size,dx_um,dx_normalized,m,A1_linearized,A1_nonlinear,R_K,R_K_minus_one,A2_over_A1_nonlinear,A3_over_A1_nonlinear,A4_over_A1_nonlinear,A5_over_A1_nonlinear,delta_phase_rad,relative_L2_error,residual_rms_tolerance,residual_max_tolerance,nonlinear_iterations,nonlinear_residual_rms,nonlinear_residual_max
0.5,0.11674350291404265,12.566370614359172,512,0.02454369260617026,0.10511802367383816,0.1,0.011517092266586284,0.011546039947768906,1.0025134539615181,0.0025134539615181417,0.048190992072657216,0.0022709538741816464,0.00010515444629848621,4.809797993819458e-06,0.0,0.048431111007644995,1e-12,1e-11,3,8.748835158904515e-17,2.8571437750424256e-16
0.5,0.11674350291404265,12.566370614359172,512,0.02454369260617026,0.10511802367383816,0.2,0.023034184533172568,0.023269335942316956,1.010208801132323,0.01020880113232292,0.0971220238263431,0.009223857629987375,0.0008607648881970318,7.934805315122847e-05,0.0,0.09908618068821111,1e-12,1e-11,3,1.682626816321201e-16,6.004853732310966e-16
0.5,0.11674350291404265,12.566370614359172,512,0.02454369260617026,0.10511802367383816,0.4,0.046068369066345136,0.04807595555569594,1.0435784146484453,0.04357841464844525,0.20066235394528187,0.03937417882926859,0.007591630978768006,0.0014458991294334508,0.0,0.21795377205755181,1e-12,1e-11,3,3.524685645012603e-16,1.2333341813108856e-15
0.5,0.11674350291404265,12.566370614359172,512,0.02454369260617026,0.10511802367383816,0.6,0.06910255359951772,0.07678462223864099,1.1111690992440673,0.11116909924406726,0.32049566127955526,0.10044534128481183,0.03093265557480605,0.009409847585066482,0.0,0.3910784648076186,1e-12,1e-11,3,5.866444276096254e-16,1.8237906844464913e-15
0.5,0.11674350291404265,12.566370614359172,512,0.02454369260617026,0.10511802367383816,0.8,0.09213673813269027,0.11519159211284535,1.2502243344772284,0.25022433447722836,0.4808349961727846,0.2260956888725021,0.10446512158212608,0.047678505885876486,0.0,0.7248622594520507,1e-12,1e-11,3,2.1672340973265197e-14,6.864777843396119e-14
0.5,0.11674350291404265,12.566370614359172,512,0.02454369260617026,0.10511802367383816,0.95,0.10941237653256969,0.1669273681813392,1.5256717153168549,0.5256717153168549,0.6969431992296001,0.475041041150901,0.3181533739634124,0.21046049038396433,0.0,1.532580353190971,1e-12,1e-11,4,8.044373971065836e-16,3.709055632072911e-15
0.75,0.17511525437106398,8.377580409572781,512,0.016362461737446838,0.07007868244922544,0.01,0.0016990085487562172,0.0016990510940805199,1.0000250412655862,2.5041265586223105e-05,0.004594478802528597,2.029299132746208e-05,8.768872971510105e-08,3.7628209833211666e-10,0.0,0.004594706909353067,1e-12,1e-11,2,6.27621287314479e-15,8.988412092533413e-15
0.75,0.17511525437106398,8.377580409572781,512,0.016362461737446838,0.07007868244922544,0.02,0.0033980170975124327,0.003398357511309954,1.0001001801308682,0.00010018013086821043,0.009189648667896124,8.118417561570002e-05,7.016681118354941e-07,6.022286379445048e-09,0.0,0.009191473906914193,1e-12,1e-11,2,1.0047675549651893e-13,1.4512410641698975e-13
0.75,0.17511525437106398,8.377580409572781,512,0.016362461737446838,0.07007868244922544,0.05,0.008495042743781083,0.008500367318245827,1.0006267860710463,0.0006267860710462703,0.02298622985642903,0.0005079361245247729,1.0980469546703505e-05,2.3568469322796156e-07,0.0,0.02301479134441453,1e-12,1e-11,3,1.454982102027391e-16,6.130621184319285e-16
0.75,0.17511525437106398,8.377580409572781,512,0.016362461737446838,0.07007868244922544,0.1,0.016990085487562166,0.017032843308354022,1.0025166336463203,0.0025166336463202654,0.046059366140531806,0.002039434039646226,8.83428794626549e-05,3.7995454574417347e-06,0.0,0.04628907109147727,1e-12,1e-11,3,3.094693205249494e-16,1.2311115668572903e-15
0.75,0.17511525437106398,8.377580409572781,512,0.016362461737446838,0.07007868244922544,0.2,0.03398017097512433,0.03432751771170539,1.0102220420502104,0.010222042050210378,0.09282742479437259,0.0082837486659415,0.0007231802539013826,6.268484572638068e-05,0.0,0.09470509438295824,1e-12,1e-11,3,6.282217605753208e-16,2.407362503786814e-15
0.75,0.17511525437106398,8.377580409572781,512,0.016362461737446838,0.07007868244922544,0.4,0.06796034195024866,0.07092622601433343,1.0436413940685583,0.04364139406855827,0.19180266997516113,0.035365992985415595,0.006379411737001585,0.0011425182924027213,0.0,0.2082834228158871,1e-12,1e-11,3,1.3555456998931021e-15,5.3852321907355005e-15
0.75,0.17511525437106398,8.377580409572781,512,0.016362461737446838,0.07007868244922544,0.6,0.10194051292537298,0.11329355006153347,1.1113692369242014,0.11136923692420142,0.3063962632442234,0.09024993494276527,0.026005184593846844,0.0074394364357943795,0.0,0.37326483338583016,1e-12,1e-11,3,1.3785868004574165e-14,3.7453547208077254e-14
0.75,0.17511525437106398,8.377580409572781,512,0.016362461737446838,0.07007868244922544,0.8,0.13592068390049733,0.17002809825396348,1.2509361590501926,0.2509361590501926,0.45990812091411054,0.2033388817557881,0.08793736750771444,0.037751335598820275,0.0,0.6881125767153254,1e-12,1e-11,3,9.672779528866668e-13,3.073355805960354e-12
0.75,0.17511525437106398,8.377580409572781,512,0.016362461737446838,0.07007868244922544,0.95,0.16140581213184052,0.24687902005655415,1.5295547093118114,0.5295547093118114,0.6680098333489992,0.42887915529057535,0.26918437985887494,0.16761037128869793,0.0,1.425740950722072,1e-12,1e-11,4,2.924712158024522e-15,1.1290014062526055e-14
1.0,0.2334870058280853,6.283185307179586,512,0.01227184630308513,0.05255901183691908,0.01,0.0022141082413855567,0.002214163846065034,1.0000251138035792,2.5113803579168703e-05,0.004340367811235946,1.7930830844118957e-05,7.311490979748346e-08,3.009385230154135e-10,0.0,0.004340586505934202,1e-12,1e-11,2,3.644843360348862e-14,5.1996357523440007e-14
1.0,0.2334870058280853,6.283185307179586,512,0.01227184630308513,0.05255901183691908,0.02,0.004428216482771112,0.004428661387394525,1.0001004703869254,0.00010047038692539978,0.008681390764344335,7.173414402855673e-05,5.850515196575611e-07,4.8164396776857585e-09,4.440892098500626e-16,0.008683140678262853,1e-12,1e-11,2,5.834087004123962e-13,8.372344701204626e-13
1.0,0.2334870058280853,6.283185307179586,512,0.01227184630308513,0.05255901183691908,0.05,0.01107054120692778,0.011077500201860713,1.0006286047631148,0.0006286047631147706,0.021714955777378385,0.0004488126024843842,9.154371104858837e-06,1.883707080313008e-07,0.0,0.021742337234333386,1e-12,1e-11,3,3.546055035633909e-16,1.4844354044585284e-15
1.0,0.2334870058280853,6.283185307179586,512,0.01227184630308513,0.05255901183691908,0.1,0.022141082413855553,0.022196965943667227,1.0025239746082468,0.002523974608246826,0.04351230263460337,0.0018020657510748178,7.365211872809283e-05,3.036826816159211e-06,0.0,0.04373247867704101,1e-12,1e-11,3,6.626078568078876e-16,2.2605615296322767e-15
