m,x_um,E_nonlinear,E_linearized
0.1,0.0,0.04777840688168693,0.047690541259232694
0.1,0.00390625,0.04774269403911226,0.04768695024918567
0.1,0.0078125,0.047699857244014175,0.04767617775983751
0.1,0.01171875,0.0476499172155083,0.04765822541348549
0.1,0.015625,0.0475928956565657,0.04763309591368692
0.1,0.01953125,0.047528815242637884,0.04760079304485204
0.1,0.0234375,0.047457699610239636,0.04756132167167409
0.1,0.02734375,0.047379573345495286,0.04751468773839668
0.1,0.03125,0.04729446197265393,0.04746089826791861
0.1,0.03515625,0.047202391942578935,0.04739996136073631
0.1,0.0390625,0.047103390621216976,0.04733188619372384
0.1,0.04296875,0.0469974862780518,0.04725668301875096
0.1,0.046875,0.04688470807454759,0.04717436316113919
0.1,0.05078125,0.046765086052586974,0.04708493901795629
0.1,0.0546875,0.0466386511229084,0.04698842405614931
0.1,0.05859375,0.0465054350535475,0.04688483281051649
0.1,0.0625,0.04636547045828697,0.046774180881518364
0.1,0.06640625,0.046218790785119514,0.04665648493292844
0.1,0.0703125,0.046065430304727976,0.04653176268932366
0.1,0.07421875,0.045905424098986916,0.046400032933415145
0.1,0.078125,0.04573880804948972,0.04626131550321959
0.1,0.08203125,0.04556561882610512,0.04611563128907174
0.1,0.0859375,0.045385893875566984,0.045963002230478375
0.1,0.08984375,0.04519967141010103,0.045803451312814325
0.1,0.09375,0.04500699039609209,0.045637002563860884
0.1,0.09765625,0.044807890542795374,0.04546368105018743
0.1,0.1015625,0.04460241229109501,0.04528351287337637
0.1,0.10546875,0.04439059680231326,0.04509652516609242
0.1,0.109375,0.04417248594707334,0.044902746087996534
0.1,0.11328125,0.043948122294218864,0.044702204821505054
0.1,0.1171875,0.043717549099792974,0.0444949315673951
0.1,0.12109375,0.04348081029607969,0.04428095754025633
0.1,0.125,0.043237950480710316,0.044060314963790134
0.1,0.12890625,0.042989014905837286,0.043833037065956974
0.1,0.1328125,0.042734049467378084,0.04359915807397227
0.1,0.13671875,0.04247310069433139,0.04335871320915193
0.1,0.140625,0.04220621573816774,0.04311173868160817
0.1,0.14453125,0.04193344236229687,0.04285827168479639
0.1,0.1484375,0.041654828931613604,0.042598350389914004
0.1,0.15234375,0.04137042440212438,0.042332013940151944
0.1,0.15625,0.04108027831065605,0.04205930244479989
0.1,0.16015625,0.04078444076464875,0.041780256973205906
0.1,0.1640625,0.04048296243203444,0.04149491954859163
0.1,0.16796875,0.040175894531202516,0.04120333314172364
0.1,0.171875,0.03986328882105407,0.04090554166444228
0.1,0.17578125,0.039545197591145935,0.04060158996304866
0.1,0.1796875,0.039221673651925894,0.04029152381155099
0.1,0.18359375,0.03889277032506005,0.039975389904771175
0.1,0.1875,0.0385585414338534,0.03965323585131274
0.1,0.19140625,0.038219041293764716,0.03932511016639116
0.1,0.1953125,0.03787432470301635,0.03899106226452766
0.1,0.19921875,0.037524446933299926,0.038651142452107504
0.1,0.203125,0.03716946372057856,0.03830540191980414
0.1,0.20703125,0.036809431255986104,0.03795389273486999
0.1,0.2109375,0.036444406176824096,0.037596667833295364
0.1,0.21484375,0.036074445557656785,0.037233781011836456
0.1,0.21875,0.03569960690150457,0.036865286919913774
0.1,0.22265625,0.035319948131136154,0.036491241051382135
0.1,0.2265625,0.034935527580459744,0.036111699736173494
0.1,0.23046875,0.03454640398601318,0.035726720131813855
0.1,0.234375,0.03415263647855335,0.03533636021481557
0.1,0.23828125,0.0337542845747447,0.03494067877194628
0.1,0.2421875,0.0333514081689468,0.03453973539137585
0.1,0.24609375,0.03294406752510094,0.034133590453702616
0.1,0.25,0.03253232326871533,0.03372230512286027
0.1,0.25390625,0.03211623637894891,0.0333059413369068
0.1,0.2578125,0.03169586818079318,0.03288456179869687
0.1,0.26171875,0.03127128033735185,0.032458229966438996
0.1,0.265625,0.03084253484221776,0.032027010044138916
0.1,0.26953125,0.030409694011946563,0.03159096697193079
0.1,0.2734375,0.02997282047862667,0.031150166416297406
0.1,0.27734375,0.029531977182544737,0.030704674760181044
0.1,0.28125,0.029087227364946087,0.030254559092986466
0.1,0.28515625,0.028638634560889345,0.029799887200477503
0.1,0.2890625,0.028186262592194422,0.029340727554568742
0.1,0.29296875,0.02773017556048313,0.02887714930301394
0.1,0.296875,0.027270437840311475,0.028409222258992617
0.1,0.30078125,0.026807114072392686,0.02793701689059641
0.1,0.3046875,0.02634026915691009,0.02746060431021691
0.1,0.30859375,0.025869968246918743,0.026980056263836327
0.1,0.3125,0.02539627674183479,0.026495445120222866
0.1,0.31640625,0.024919260281011425,0.02600684386003219
0.1,0.3203125,0.024438984737400353,0.0255143260648169
0.1,0.32421875,0.023955516211297514,0.025017965905945305
0.1,0.328125,0.023468921024171915,0.02451783813343159
0.1,0.33203125,0.022979265712576226,0.024014018064678674
0.1,0.3359375,0.02248661702213794,0.02350658157313572
0.1,0.33984375,0.02199104190162969,0.02299560507687186
0.1,0.34375,0.021492607497117396,0.022481165527067897
0.1,0.34765625,0.020991381146184842,0.02196334039642779
0.1,0.3515625,0.02048743037223326,0.02144220766751149
0.1,0.35546875,0.019980822878854432,0.020917845820991102
0.1,0.359375,0.019471626544275863,0.02039033382383196
0.1,0.36328125,0.018959909415876473,0.019859751117400487
0.1,0.3671875,0.01844573970477129,0.019326177605500643
0.1,0.37109375,0.017929185780463538,0.018789693642340673
0.1,0.375,0.01741031616556258,0.018250380020432097
0.1,0.37890625,0.016889199530566022,0.017708317958422613
0.1,0.3828125,0.01636590468870439,0.01716358908886491
0.1,0.38671875,0.01584050059084667,0.016616275445923055
0.1,0.390625,0.015313056320465063,0.01606645945301852
0.1,0.39453125,0.014783641088657193,0.015514223910417436
0.1,0.3984375,0.014252324229224083,0.014959651982761248
0.1,0.40234375,0.013719175193802101,0.014402827186542384
0.1,0.40625,0.013184263547047144,0.013843833377526982
0.1,0.41015625,0.012647658961869259,0.01328275473812655
0.1,0.4140625,0.01210943121471587,0.012719675764720361
0.1,0.41796875,0.011569650180901841,0.012154681254930662
0.1,0.421875,0.011028385829984477,0.011587856294852395
0.1,0.42578125,0.010485708221181654,0.011019286246239605
0.1,0.4296875,0.0099416874988312,0.010449056733650257
0.1,0.43359375,0.009396393887889641,0.009877253631551461
0.1,0.4375,0.00884989768946842,0.009303963051387164
0.1,0.44140625,0.00830226927640569,0.008729271328609983
0.1,0.4453125,0.007753579088871757,0.008153265009679497
0.1,0.44921875,0.0072038976300062745,0.007576030839028622
0.1,0.453125,0.006653295461585193,0.00699765574600022
0.1,0.45703125,0.00610184319971559,0.006418226831755871
0.1,0.4609375,0.005549611510556385,0.005837831356158759
0.1,0.46484375,0.004996671106062978,0.0052565567246326324
0.1,0.46875,0.004443092739753862,0.004674490474998915
0.1,0.47265625,0.0038889472024972193,0.004091720264293788
0.1,0.4765625,0.003334305318315521,0.003508333855567389
0.1,0.48046875,0.002779237940206144,0.002924419104667009
0.1,0.484375,0.0022238159459760255,0.002340063947006324
0.1,0.48828125,0.0016681102340883346,0.0017553563843226523
0.1,0.4921875,0.0011121917195191834,0.00117038447142421
0.1,0.49609375,0.0005561313296223607,0.0005852363029293795
0.1,0.5,9.434191775832584e-17,-1.1999338934987608e-19
0.1,0.50390625,-0.0005561313296221721,-0.0005852363029293819
0.1,0.5078125,-0.0011121917195189947,-0.0011703844714242102
0.1,0.51171875,-0.001668110234088146,-0.0017553563843226527
0.1,0.515625,-0.0022238159459758364,-0.002340063947006325
0.1,0.51953125,-0.002779237940205955,-0.002924419104667012
0.1,0.5234375,-0.0033343053183153325,-0.00350833385556739
0.1,0.52734375,-0.0038889472024970307,-0.004091720264293788
0.1,0.53125,-0.004443092739753673,-0.004674490474998912
0.1,0.53515625,-0.004996671106062789,-0.005256556724632628
0.1,0.5390625,-0.005549611510556196,-0.0058378313561587535
0.1,0.54296875,-0.0061018431997154,-0.006418226831755868
0.1,0.546875,-0.006653295461585003,-0.006997655746000217
0.1,0.55078125,-0.0072038976300060845,-0.007576030839028618
0.1,0.5546875,-0.007753579088871567,-0.008153265009679491
0.1,0.55859375,-0.008302269276405497,-0.008729271328609981
0.1,0.5625,-0.008849897689468228,-0.009303963051387159
0.1,0.56640625,-0.009396393887889449,-0.009877253631551465
0.1,0.5703125,-0.009941687498831007,-0.010449056733650252
0.1,0.57421875,-0.01048570822118146,-0.011019286246239605
0.1,0.578125,-0.011028385829984284,-0.011587856294852391
0.1,0.58203125,-0.011569650180901647,-0.012154681254930659
0.1,0.5859375,-0.012109431214715676,-0.012719675764720363
0.1,0.58984375,-0.012647658961869064,-0.013282754738126552
0.1,0.59375,-0.01318426354704695,-0.013843833377526983
0.1,0.59765625,-0.013719175193801905,-0.01440282718654238
0.1,0.6015625,-0.014252324229223887,-0.014959651982761252
0.1,0.60546875,-0.014783641088656995,-0.01551422391041744
0.1,0.609375,-0.015313056320464863,-0.016066459453018524
0.1,0.61328125,-0.01584050059084647,-0.01661627544592306
0.1,0.6171875,-0.016365904688704188,-0.017163589088864905
0.1,0.62109375,-0.016889199530565818,-0.01770831795842262
0.1,0.625,-0.017410316165562375,-0.018250380020432094
0.1,0.62890625,-0.01792918578046333,-0.018789693642340673
0.1,0.6328125,-0.01844573970477108,-0.019326177605500643
0.1,0.63671875,-0.018959909415876264,-0.019859751117400484
0.1,0.640625,-0.01947162654427565,-0.020390333823831958
0.1,0.64453125,-0.01998082287885422,-0.020917845820991102
0.1,0.6484375,-0.020487430372233047,-0.021442207667511485
0.1,0.65234375,-0.020991381146184627,-0.021963340396427784
0.1,0.65625,-0.021492607497117178,-0.022481165527067897
0.1,0.66015625,-0.021991041901629472,-0.022995605076871855
0.1,0.6640625,-0.02248661702213772,-0.02350658157313573
0.1,0.66796875,-0.022979265712576004,-0.02401401806467868
0.1,0.671875,-0.02346892102417169,-0.024517838133431592
0.1,0.67578125,-0.02395551621129729,-0.025017965905945305
0.1,0.6796875,-0.02443898473740012,-0.025514326064816895
0.1,0.68359375,-0.024919260281011192,-0.026006843860032196
0.1,0.6875,-0.025396276741834554,-0.026495445120222855
0.1,0.69140625,-0.025869968246918507,-0.02698005626383632
0.1,0.6953125,-0.02634026915690985,-0.0274606043102169
0.1,0.69921875,-0.026807114072392443,-0.0279370168905964
0.1,0.703125,-0.027270437840311232,-0.028409222258992606
0.1,0.70703125,-0.027730175560482885,-0.028877149303013935
0.1,0.7109375,-0.028186262592194172,-0.02934072755456873
0.1,0.71484375,-0.02863863456088909,-0.029799887200477496
0.1,0.71875,-0.029087227364945834,-0.030254559092986463
0.1,0.72265625,-0.029531977182544477,-0.03070467476018104
0.1,0.7265625,-0.02997282047862641,-0.031150166416297406
0.1,0.73046875,-0.0304096940119463,-0.031590966971930784
0.1,0.734375,-0.03084253484221749,-0.03202701004413891
0.1,0.73828125,-0.03127128033735158,-0.03245822996643899
0.1,0.7421875,-0.03169586818079292,-0.032884561798696865
0.1,0.74609375,-0.03211623637894865,-0.0333059413369068
0.1,0.75,-0.03253232326871507,-0.033722305122860265
0.1,0.75390625,-0.032944067525100686,-0.034133590453702616
0.1,0.7578125,-0.03335140816894655,-0.03453973539137586
0.1,0.76171875,-0.03375428457474445,-0.03494067877194628
0.1,0.765625,-0.03415263647855311,-0.035336360214815565
0.1,0.76953125,-0.03454640398601294,-0.035726720131813855
0.1,0.7734375,-0.03493552758045951,-0.03611169973617349
0.1,0.77734375,-0.035319948131135925,-0.036491241051382135
0.1,0.78125,-0.03569960690150433,-0.036865286919913774
0.1,0.78515625,-0.036074445557656556,-0.03723378101183645
0.1,0.7890625,-0.03644440617682387,-0.037596667833295364
0.1,0.79296875,-0.03680943125598588,-0.03795389273486999
0.1,0.796875,-0.03716946372057834,-0.03830540191980413
0.1,0.80078125,-0.03752444693329971,-0.0386511424521075
0.1,0.8046875,-0.03787432470301613,-0.03899106226452764
0.1,0.80859375,-0.0382190412937645,-0.039325110166391175
0.1,0.8125,-0.03855854143385319,-0.03965323585131274
0.1,0.81640625,-0.03889277032505984,-0.039975389904771175
0.1,0.8203125,-0.03922167365192569,-0.04029152381155099
0.1,0.82421875,-0.03954519759114573,-0.04060158996304866
0.1,0.828125,-0.03986328882105387,-0.04090554166444228
0.1,0.83203125,-0.04017589453120232,-0.04120333314172364
0.1,0.8359375,-0.040482962432034246,-0.04149491954859162
0.1,0.83984375,-0.040784440764648565,-0.04178025697320591
0.1,0.84375,-0.04108027831065585,-0.042059302444799884
0.1,0.84765625,-0.04137042440212419,-0.042332013940151944
0.1,0.8515625,-0.041654828931613416,-0.04259835038991402
0.1,0.85546875,-0.04193344236229668,-0.0428582716847964
0.1,0.859375,-0.04220621573816756,-0.043111738681608176
0.1,0.86328125,-0.04247310069433121,-0.043358713209151925
0.1,0.8671875,-0.0427340494673779,-0.043599158073972265
0.1,0.87109375,-0.042989014905837106,-0.04383303706595698
0.1,0.875,-0.043237950480710136,-0.04406031496379013
0.1,0.87890625,-0.04348081029607952,-0.04428095754025631
0.1,0.8828125,-0.0437175490997928,-0.04449493156739509
0.1,0.88671875,-0.04394812229421869,-0.04470220482150504
0.1,0.890625,-0.04417248594707317,-0.04490274608799653
0.1,0.89453125,-0.044390596802313095,-0.045096525166092416
0.1,0.8984375,-0.044602412291094844,-0.04528351287337635
0.1,0.90234375,-0.04480789054279521,-0.04546368105018742
0.1,0.90625,-0.045006990396091934,-0.04563700256386088
0.1,0.91015625,-0.045199671410100874,-0.045803451312814325
0.1,0.9140625,-0.045385893875566824,-0.045963002230478375
0.1,0.91796875,-0.045565618826104964,-0.04611563128907174
0.1,0.921875,-0.045738808049489564,-0.046261315503219595
0.1,0.92578125,-0.04590542409898676,-0.04640003293341514
0.1,0.9296875,-0.046065430304727824,-0.046531762689323665
0.1,0.93359375,-0.04621879078511936,-0.046656484932928434
0.1,0.9375,-0.04636547045828682,-0.04677418088151835
0.1,0.94140625,-0.046505435053547345,-0.04688483281051648
0.1,0.9453125,-0.04663865112290825,-0.04698842405614931
0.1,0.94921875,-0.04676508605258682,-0.04708493901795628
0.1,0.953125,-0.046884708074547435,-0.04717436316113919
0.1,0.95703125,-0.046997486278051656,-0.047256683018750946
0.1,0.9609375,-0.04710339062121683,-0.04733188619372382
0.1,0.96484375,-0.04720239194257878,-0.0473999613607363
0.1,0.96875,-0.04729446197265379,-0.047460898267918605
0.1,0.97265625,-0.04737957334549514,-0.04751468773839666
0.1,0.9765625,-0.04745769961023949,-0.04756132167167409
0.1,0.98046875,-0.04752881524263774,-0.04760079304485203
0.1,0.984375,-0.047592895656565555,-0.047633095913686904
0.1,0.98828125,-0.04764991721550816,-0.04765822541348548
0.1,0.9921875,-0.047699857244014036,-0.04767617775983749
