m,A1_nonlinear,A1_linearized,A1_ratio,A2_over_A1_nonlinear,A3_over_A1_nonlinear,delta_phase_rad,relative_L2_error,difference_rms,nonlinear_iterations,nonlinear_residual_rms,nonlinear_residual_max
0.01,0.0047691842360625385,0.004769054125923271,1.0000272821687135,0.002738337582356064,8.947128480769544e-06,8.881784197001252e-16,0.0027385628063099107,9.235065055249931e-06,3,1.662939199453491e-15,5.671678404706171e-15
0.02,0.009539149300394501,0.00953810825184654,1.0001091462290501,0.005477095193065205,3.579395429675697e-05,0.0,0.0054788972457009266,3.695220893126507e-05,3,3.3257945077212486e-15,1.0459515198402158e-14
0.05,0.023861555355418736,0.02384527062961635,1.0006829331507843,0.013700097474097384,0.00022395059245238776,-8.881784197001252e-16,0.01372828316191655,0.0002314746767995874,3,7.037925523158815e-15,2.2315482794965646e-14
0.1,0.04782134648829993,0.047690541259232694,1.0027427918747287,0.027453021377691098,0.0008992285892446449,-4.440892098500626e-16,0.027679332266851958,0.0009334108882998132,3,1.434228397225889e-14,4.6716103208055415e-14
0.2,0.09644483434934362,0.09538108251846539,1.0111526500097363,0.05533694576964429,0.003653072593599336,4.440892098500626e-16,0.057174846981617136,0.0038561352705338784,3,2.8310551402871924e-14,9.636735853746359e-14
0.4,0.19988882263262198,0.19076216503693078,1.0478431223189584,0.11441652794232988,0.015607398799288305,-4.440892098500626e-16,0.13014095738961762,0.017554612296295367,4,5.872927054600954e-14,2.232866669338307e-13
0.6,0.32144266243087893,0.2861432475553962,1.1233627393868482,0.18304044911195938,0.03988915526029349,-1.7763568394002505e-15,0.24420561367468704,0.0494110573023188,4,9.791970227970022e-14,3.683164884193957e-13
0.8,0.49021069209084356,0.38152433007386155,1.2848740000301966,0.275661635223282,0.09018152461281065,2.220446049250313e-15,0.4713773071826113,0.127167435046434,4,1.2697625959934378e-13,5.230260669009112e-13
0.95,0.7446213482872726,0.4530601419627105,1.643537533585462,0.403667410407777,0.19168597911877178,4.440892098500626e-16,0.9982749455214476,0.3198092569391191,4,2.032378096008807e-13,8.317149052805561e-13
