N,carrier_gain_difference,carrier_power_balance_error,carrier_separation_quality,converged,dx_um,fixture,geometry,harmonic_1_magnitude,harmonic_1_phase_rad,harmonic_1_relative_to_K,harmonic_1_resolution,harmonic_2_magnitude,harmonic_2_phase_rad,harmonic_2_relative_to_K,harmonic_2_resolution,harmonic_3_magnitude,harmonic_3_phase_rad,harmonic_3_relative_to_K,harmonic_3_resolution,launch_attenuation,linear_response_rms,m,material_abs_L2_vs_linearized,material_max_abs_vs_linearized,material_rel_L2_vs_linearized,material_rel_L2_vs_reduced_linearized,model,optical_rel_L2_vs_linearized,output_intensity_rel_L2_vs_linearized,periodic_fundamental_bin_offsets,periodic_fundamental_commensurate,periodic_fundamental_mode_components,points_per_2K,points_per_3K,points_per_K,power_drift,pump_delta_power_normalized,pump_gain,pump_power_input_normalized,pump_power_output_normalized,reference_intensity,resolution_2K,resolution_3K,resolution_K,runtime_s,signal_delta_power_normalized,signal_gain,signal_power_input_normalized,signal_power_output_normalized,study,total_power_mW
256,,,,True,0.78125,broad_beam,x,0.0022504161260069044,1.5707963267948966,1.0,marginal,,,,underresolved,,,,underresolved,none,0.0031817801357380345,0.03125,5.764896714790022e-05,8.322571665791891e-05,0.01811846346652985,,reduced_nonlinear,,,"[0.0, 0.0]",True,"[100.0, 0.0]",1.28,0.8533333333333334,2.56,,,,,,1.01,underresolved,underresolved,marginal,0.00938300002599135,,,,,frozen_intensity_material,2.0
256,,,,True,0.78125,broad_beam,x,0.002249858310225018,1.5707963267948966,1.0,marginal,,,,underresolved,,,,underresolved,none,0.0031817801357380345,0.03125,5.764896714790022e-05,8.322571665791891e-05,0.01811846346652985,,reduced_linearized,,,"[0.0, 0.0]",True,"[100.0, 0.0]",1.28,0.8533333333333334,2.56,,,,,,1.01,underresolved,underresolved,marginal,0.0016647500160615891,,,,,frozen_intensity_material,2.0
256,,,,True,0.78125,broad_beam,x,0.007451801393673976,1.5707963267948966,1.0,marginal,,,,underresolved,,,,underresolved,none,0.0031817801357380345,0.03125,5.764896714790022e-05,8.322571665791891e-05,0.01811846346652985,2.3121203054465287,full_transverse_linearized,,,"[0.0, 0.0]",True,"[100.0, 0.0]",1.28,0.8533333333333334,2.56,,,,,,1.01,underresolved,underresolved,marginal,0.004006166011095047,,,,,frozen_intensity_material,2.0
512,,,,True,0.390625,broad_beam,x,0.10296730652616506,1.5707963267948966,1.0,resolved,0.019235391070195763,-1.5707963267948966,0.18681066562917084,marginal,,,,underresolved,none,0.13500549175856835,0.5,0.03033732803787839,0.0578956403753914,0.22471180722136294,,reduced_nonlinear,,,"[0.0, 0.0]",True,"[100.0, 0.0]",2.56,1.7066666666666668,5.12,,,,,,1.01,marginal,underresolved,resolved,0.0603632909769658,,,,,frozen_intensity_material,2.0
512,,,,True,0.390625,broad_beam,x,0.09546329871990825,1.5707963267948966,1.0,resolved,1.4934983310615898e-17,-1.5671665786703752,1.5644738355873832e-16,marginal,,,,underresolved,none,0.13500549175856835,0.5,0.03033732803787839,0.0578956403753914,0.22471180722136294,,reduced_linearized,,,"[0.0, 0.0]",True,"[100.0, 0.0]",2.56,1.7066666666666668,5.12,,,,,,1.01,marginal,underresolved,resolved,0.010323083028197289,,,,,frozen_intensity_material,2.0
512,,,,True,0.390625,broad_beam,x,0.11922882229878365,1.5707963267948966,1.0,resolved,1.2772665480582789e-17,-1.6430109579476042,1.0712733074369295e-16,marginal,,,,underresolved,none,0.13500549175856835,0.5,0.03033732803787839,0.0578956403753914,0.22471180722136294,0.2489493229078868,full_transverse_linearized,,,"[0.0, 0.0]",True,"[100.0, 0.0]",2.56,1.7066666666666668,5.12,,,,,,1.01,marginal,underresolved,resolved,0.021106750005856156,,,,,frozen_intensity_material,2.0
512,,,,True,0.390625,broad_beam,x,0.04856646394186444,1.5707963267948966,1.0,resolved,0.00429053700804552,-1.5707963267948966,0.08834361532232253,marginal,,,,underresolved,none,0.06750274587928416,0.25,0.006235495100522117,0.010594174219662092,0.09237394744908575,,reduced_nonlinear,,,"[0.0, 0.0]",True,"[100.0, 0.0]",2.56,1.7066666666666668,5.12,,,,,,1.01,marginal,underresolved,resolved,0.06684866698924452,,,,,frozen_intensity_material,2.0
512,,,,True,0.390625,broad_beam,x,0.04773164935995411,1.5707963267948966,1.0,resolved,7.277707082808949e-18,-1.5707963267948966,1.5247130950632513e-16,marginal,,,,underresolved,none,0.06750274587928416,0.25,0.006235495100522117,0.010594174219662092,0.09237394744908575,,reduced_linearized,,,"[0.0, 0.0]",True,"[100.0, 0.0]",2.56,1.7066666666666668,5.12,,,,,,1.01,marginal,underresolved,resolved,0.009427165990928188,,,,,frozen_intensity_material,2.0
512,,,,True,0.390625,broad_beam,x,0.05961441114939181,1.5707963267948966,1.0,resolved,6.885163986191982e-18,-1.5826068012492116,1.1549495924631346e-16,marginal,,,,underresolved,none,0.06750274587928416,0.25,0.006235495100522117,0.010594174219662092,0.09237394744908575,0.24894932290788674,full_transverse_linearized,,,"[0.0, 0.0]",True,"[100.0, 0.0]",2.56,1.7066666666666668,5.12,,,,,,1.01,marginal,underresolved,resolved,0.024029291002079844,,,,,frozen_intensity_material,2.0
512,,,,True,0.390625,broad_beam,x,0.02396748070788409,1.5707963267948966,1.0,resolved,0.001045453904861458,-1.5707963267948966,0.043619682752787464,marginal,,,,underresolved,none,0.033751372939642074,0.125,0.001488648548193419,0.0023307137775051417,0.044106310900465094,,reduced_nonlinear,,,"[0.0, 0.0]",True,"[100.0, 0.0]",2.56,1.7066666666666668,5.12,,,,,,1.01,marginal,underresolved,resolved,0.06583120799041353,,,,,frozen_intensity_material,2.0
512,,,,True,0.390625,broad_beam,x,0.023865824679977055,1.5707963267948966,1.0,resolved,2.3246139857353946e-18,-1.5882872542655462,9.740346360985794e-17,marginal,,,,underresolved,none,0.033751372939642074,0.125,0.001488648548193419,0.0023307137775051417,0.044106310900465094,,reduced_linearized,,,"[0.0, 0.0]",True,"[100.0, 0.0]",2.56,1.7066666666666668,5.12,,,,,,1.01,marginal,underresolved,resolved,0.011041416990337893,,,,,frozen_intensity_material,2.0
512,,,,True,0.390625,broad_beam,x,0.02980720557469591,1.5707963267948966,1.0,resolved,6.392714274101893e-19,-2.129395642138459,2.1446875514989e-17,marginal,,,,underresolved,none,0.033751372939642074,0.125,0.001488648548193419,0.0023307137775051417,0.044106310900465094,0.24894932290788674,full_transverse_linearized,,,"[0.0, 0.0]",True,"[100.0, 0.0]",2.56,1.7066666666666668,5.12,,,,,,1.01,marginal,underresolved,resolved,0.024133166996762156,,,,,frozen_intensity_material,2.0
512,,,,True,0.390625,broad_beam,x,0.011945538454943887,1.5707963267948966,1.0,resolved,0.00025973117414672083,-1.5707963267948963,0.021742944039431406,marginal,,,,underresolved,none,0.016875686469821044,0.0625,0.0003679450856739453,0.0005492893365948402,0.021803266274942328,,reduced_nonlinear,,,"[0.0, 0.0]",True,"[100.0, 0.0]",2.56,1.7066666666666668,5.12,,,,,,1.01,marginal,underresolved,resolved,0.06398804200580344,,,,,frozen_intensity_material,2.0
512,,,,True,0.390625,broad_beam,x,0.01193291233998853,1.5707963267948966,1.0,resolved,1.6944046738129591e-18,-1.590793660768047,1.4199422785792354e-16,marginal,,,,underresolved,none,0.016875686469821044,0.0625,0.0003679450856739453,0.0005492893365948402,0.021803266274942328,,reduced_linearized,,,"[0.0, 0.0]",True,"[100.0, 0.0]",2.56,1.7066666666666668,5.12,,,,,,1.01,marginal,underresolved,resolved,0.009088958002394065,,,,,frozen_intensity_material,2.0
512,,,,True,0.390625,broad_beam,x,0.014903602787347956,1.5707963267948966,1.0,resolved,1.0945291441441819e-18,-1.651366870258695,7.344057405189e-17,marginal,,,,underresolved,none,0.016875686469821044,0.0625,0.0003679450856739453,0.0005492893365948402,0.021803266274942328,0.24894932290788668,full_transverse_linearized,,,"[0.0, 0.0]",True,"[100.0, 0.0]",2.56,1.7066666666666668,5.12,,,,,,1.01,marginal,underresolved,resolved,0.021803375013405457,,,,,frozen_intensity_material,2.0
512,,,,True,0.390625,broad_beam,x,0.005968031932325124,1.5707963267948966,1.0,resolved,6.483176613529703e-05,-1.5707963267948968,0.010863173466640418,marginal,,,,underresolved,none,0.008437843234910517,0.03125,9.172524686552776e-05,0.00013338721398167656,0.010870698152582849,,reduced_nonlinear,,,"[0.0, 0.0]",True,"[100.0, 0.0]",2.56,1.7066666666666668,5.12,,,,,,1.01,marginal,underresolved,resolved,0.043575166986556724,,,,,frozen_intensity_material,2.0
512,,,,True,0.390625,broad_beam,x,0.005966456169994262,1.5707963267948966,1.0,resolved,2.514014335335861e-18,-1.566753222140871,4.2135804968768904e-16,marginal,,,,underresolved,none,0.008437843234910517,0.03125,9.172524686552776e-05,0.00013338721398167656,0.010870698152582849,,reduced_linearized,,,"[0.0, 0.0]",True,"[100.0, 0.0]",2.56,1.7066666666666668,5.12,,,,,,1.01,marginal,underresolved,resolved,0.008207708015106618,,,,,frozen_intensity_material,2.0
512,,,,True,0.390625,broad_beam,x,0.007451801393673974,1.5707963267948966,1.0,resolved,5.504837603744555e-18,-1.588030692893351,7.387257540730693e-16,marginal,,,,underresolved,none,0.008437843234910517,0.03125,9.172524686552776e-05,0.00013338721398167656,0.010870698152582849,0.248949322907887,full_transverse_linearized,,,"[0.0, 0.0]",True,"[100.0, 0.0]",2.56,1.7066666666666668,5.12,,,,,,1.01,marginal,underresolved,resolved,0.020576875016558915,,,,,frozen_intensity_material,2.0
1024,,,,True,0.1953125,broad_beam,x,0.122081596197671,1.5707963267948966,1.0,resolved,0.019075801097708102,-1.5707963267948966,0.15625451904168353,resolved,0.0037507226783782583,1.5707963267948968,0.030723080261050945,marginal,none,0.159965800251717,0.5,0.030305910001117903,0.05596338194961059,0.1894524326664041,,reduced_nonlinear,,,"[0.0, 0.0]",True,"[100.0, 0.0]",5.12,3.4133333333333336,10.24,,,,,,1.01,resolved,marginal,resolved,0.2770159999781754,,,,,frozen_intensity_material,2.0
