study,fixture,geometry,N,m,resolution_K,magnitude_nonlinear,phase_nonlinear_rad,real_nonlinear,imag_nonlinear,magnitude_linearized,phase_linearized_rad,real_linearized,imag_linearized,R_K,delta_phase_rad,second_harmonic_ratio_nonlinear,third_harmonic_ratio_nonlinear,pump_gain_nonlinear,pump_gain_linearized,signal_gain_nonlinear,signal_gain_linearized,carrier_separation_quality
frozen_intensity_material,broad_beam,45deg,256,0.03125,marginal,0.0038145434503352566,1.5707963267948966,2.3357342133307866e-19,0.0038145434503352566,0.0038135898799557134,1.5707963267948966,2.3351503198742517e-19,0.0038135898799557134,1.0002500453403642,0.0,,,,,,,
frozen_intensity_material,broad_beam,45deg,256,0.0625,marginal,0.007634811943051541,1.5707963267948966,4.674974004075028e-19,0.007634811943051541,0.007627179759911425,1.5707963267948966,4.670300639748502e-19,0.007627179759911425,1.0010006559934814,0.0,,,,,,,
frozen_intensity_material,broad_beam,45deg,256,0.125,marginal,0.01531575374117081,1.5707963267948966,9.378194397826967e-19,0.01531575374117081,0.01525435951982285,1.5707963267948966,9.340601279497005e-19,0.01525435951982285,1.0040247000385811,0.0,,,,,,,
frozen_intensity_material,broad_beam,45deg,256,0.25,marginal,0.03101197503629344,1.5707963267948966,1.8989357981717194e-18,0.03101197503629344,0.0305087190396457,1.5707963267948966,1.868120255899401e-18,0.0305087190396457,1.0164954810457223,0.0,,,,,,,
frozen_intensity_material,broad_beam,45deg,256,0.5,marginal,0.06550534315634707,1.5707963267948966,4.011045441173471e-18,0.06550534315634707,0.0610174380792914,1.5707963267948966,3.736240511798802e-18,0.0610174380792914,1.0735511882885624,0.0,,,,,,,
frozen_intensity_material,broad_beam,45deg,512,0.03125,resolved,0.005689680357154459,1.5707963267948966,3.4839244187803887e-19,0.005689680357154459,0.005688230516473464,1.5707963267948966,3.4830366474057613e-19,0.005688230516473464,1.000254884304846,0.0,0.011045109044530823,,,,,,
frozen_intensity_material,broad_beam,45deg,512,0.0625,resolved,0.011388067981748575,1.5707963267948966,6.973180501160425e-19,0.011388067981748575,0.011376461032946926,1.5707963267948966,6.966073294811522e-19,0.011376461032946926,1.001020260058733,0.0,0.02210686274695525,,,,,,
frozen_intensity_material,broad_beam,45deg,512,0.125,resolved,0.02284631358776521,1.5707963267948966,1.3989332403786675e-18,0.02284631358776521,0.02275292206589385,1.5707963267948966,1.3932146589623043e-18,0.02275292206589385,1.0041045946362799,0.0,0.044347860630942613,,,,,,
frozen_intensity_material,broad_beam,45deg,512,0.25,resolved,0.04627192999993487,1.5707963267948966,2.833338548239531e-18,0.04627192999993487,0.0455058441317877,1.5707963267948966,2.7864293179246087e-18,0.0455058441317877,1.016834889732592,0.0,0.08980247615695179,,,,,,
frozen_intensity_material,broad_beam,45deg,512,0.5,resolved,0.09786686178745761,1.5707963267948966,5.992616951530319e-18,0.09786686178745761,0.0910116882635754,1.5707963267948966,5.572858635849217e-18,0.0910116882635754,1.0753219026552854,0.0,0.18975207938193397,,,,,,
