N,carrier_gain_difference,carrier_power_balance_error,carrier_separation_quality,converged,dx_um,fixture,geometry,harmonic_1_magnitude,harmonic_1_phase_rad,harmonic_1_relative_to_K,harmonic_1_resolution,harmonic_2_magnitude,harmonic_2_phase_rad,harmonic_2_relative_to_K,harmonic_2_resolution,harmonic_3_magnitude,harmonic_3_phase_rad,harmonic_3_relative_to_K,harmonic_3_resolution,launch_attenuation,linear_response_rms,m,material_abs_L2_vs_linearized,material_max_abs_vs_linearized,material_rel_L2_vs_linearized,model,optical_rel_L2_vs_linearized,output_intensity_rel_L2_vs_linearized,periodic_fundamental_bin_offsets,periodic_fundamental_commensurate,periodic_fundamental_mode_components,points_per_2K,points_per_3K,points_per_K,power_drift,pump_delta_power_normalized,pump_gain,pump_power_input_normalized,pump_power_output_normalized,reference_intensity,resolution_2K,resolution_3K,resolution_K,runtime_s,signal_delta_power_normalized,signal_gain,signal_power_input_normalized,signal_power_output_normalized,study,total_power_mW
256,4.81141720344154,-2.220446049250313e-16,0.9999982512171446,True,0.78125,broad_beam,x,0.10661029472594981,2.753392562465761,1.0,marginal,,,,underresolved,,,,underresolved,none,0.06646553520640788,0.5,0.0833182814814582,0.6441523318438793,1.253556165954489,reduced_nonlinear,0.1133971120180668,0.05173574163963174,"[0.0, 0.0]",True,"[100.0, 0.0]",1.28,0.8533333333333334,2.56,-2.4424906541753444e-15,-0.30071891787348504,0.6776898396875533,0.9330109779411508,0.6322920600676658,1.01,underresolved,underresolved,marginal,5.501139833009802,0.3007189178734815,5.489107043129093,0.06698858258097315,0.3677075004544546,production_static,2.0
256,3.1610705000343633,2.7755575615628914e-17,0.9999982512171446,True,0.78125,broad_beam,x,0.05902393714310986,2.7928502823834087,1.0,marginal,,,,underresolved,,,,underresolved,none,0.06646553520640788,0.5,0.0833182814814582,0.6441523318438793,1.253556165954489,reduced_linearized,0.1133971120180668,0.05173574163963174,"[0.0, 0.0]",True,"[100.0, 0.0]",1.28,0.8533333333333334,2.56,2.3314683517128287e-15,-0.1975704163447236,0.7882442747022155,0.9330109779411508,0.7354405615964272,1.01,underresolved,underresolved,marginal,3.4450362919887993,0.19757041634472552,3.9493147747365787,0.06698858258097315,0.2645589989256987,production_static,2.0
256,4.545993119753442,1.3877787807814457e-16,0.9999982512171446,True,0.78125,broad_beam,x,0.02116167846328905,2.7931897165583455,1.0,marginal,,,,underresolved,,,,underresolved,none,0.018607069980337104,0.125,0.0036372581100441136,0.017882178373476696,0.1954772091408151,reduced_nonlinear,0.00880382526355928,0.011686169643967653,"[0.0, 0.0]",True,"[100.0, 0.0]",1.28,0.8533333333333334,2.56,-2.3314683517128287e-15,-0.017765300201206258,0.9821647247885705,0.9960765948720366,0.9783112946708303,1.01,underresolved,underresolved,marginal,5.290303457994014,0.017765300201204065,5.5281578445420125,0.003923295258493995,0.02168859545969806,production_static,2.0
256,3.9518644569368098,4.961309141293668e-16,0.9999982512171446,True,0.78125,broad_beam,x,0.01840082835029504,2.793461702354246,1.0,marginal,,,,underresolved,,,,underresolved,none,0.018607069980337104,0.125,0.0036372581100441136,0.017882178373476696,0.1954772091408151,reduced_linearized,0.00880382526355928,0.011686169643967653,"[0.0, 0.0]",True,"[100.0, 0.0]",1.28,0.8533333333333334,2.56,-2.220446049250313e-16,-0.015443503010791448,0.9844956672104364,0.9960765948720366,0.9806330918612451,1.01,underresolved,underresolved,marginal,3.1480466249922756,0.015443503010791722,4.936360124147246,0.003923295258493995,0.019366798269285716,production_static,2.0
256,4.547809796644586,-1.713039432527097e-16,0.9999982512171446,True,0.78125,broad_beam,x,0.005229783503903421,2.7986715155129374,1.0,marginal,,,,underresolved,,,,underresolved,none,0.004802183415846425,0.03125,0.0005918267467895434,0.00350686686382177,0.12324117917624933,reduced_nonlinear,0.002097770018167107,0.00291108292670601,"[0.0, 0.0]",True,"[100.0, 0.0]",1.28,0.8533333333333334,2.56,1.1102230246251565e-15,-0.0011181207317556563,0.9988816042020282,0.9997540528883948,0.9986359321566392,1.01,underresolved,underresolved,marginal,4.250501707982039,0.0011181207317567062,5.546691400846614,0.00024591964423811727,0.0013640403759948236,production_static,2.0
256,4.020867044949678,-3.608224830031759e-16,0.9999982512171446,True,0.78125,broad_beam,x,0.0046712468928680785,2.79804572987992,1.0,marginal,,,,underresolved,,,,underresolved,none,0.004802183415846425,0.03125,0.0005918267467895434,0.00350686686382177,0.12324117917624933,reduced_linearized,0.002097770018167107,0.00291108292670601,"[0.0, 0.0]",True,"[100.0, 0.0]",1.28,0.8533333333333334,2.56,-3.9968028886505635e-15,-0.0009885670253695356,0.9990111897796128,0.9997540528883948,0.9987654858630253,1.01,underresolved,underresolved,marginal,3.2719505419954658,0.000988567025365178,5.0198782347292905,0.00024591964423811727,0.0012344866696032953,production_static,2.0
256,10.51757202179025,2.220446049250313e-16,0.9975005520650263,True,0.78125,broad_beam,45deg,0.08410372935290229,1.5974909672130428,1.0,marginal,,,,underresolved,,,,underresolved,none,0.13284114514787163,0.5,0.2656501453297295,6.136682578591074,1.9997580195053435,reduced_nonlinear,0.2801306083142877,0.1310859773592682,"[0.28932188134524495, 0.28932188134524495]",False,"[70.71067811865476, -70.71067811865476]",1.28,0.8533333333333334,2.56,2.5868196473766147e-14,-0.677048653394059,0.2726568649107743,0.9308517819598353,0.25380312856577636,1.01,underresolved,underresolved,marginal,9.72523499999079,0.6770486533940852,10.790228886701025,0.06915554898964447,0.7462042023837296,production_static,2.0
256,6.996262487290222,-1.1102230246251565e-16,0.9975005520650263,True,0.78125,broad_beam,45deg,0.06808601522227639,1.5843044043842283,1.0,marginal,,,,underresolved,,,,underresolved,none,0.13284114514787163,0.5,0.2656501453297295,6.136682578591074,1.9997580195053435,reduced_linearized,0.2801306083142877,0.1310859773592682,"[0.28932188134524495, 0.28932188134524495]",False,"[70.71067811865476, -70.71067811865476]",1.28,0.8533333333333334,2.56,2.5424107263916085e-14,-0.4503710633972784,0.5161731737258347,0.9308517819598353,0.4804807185625569,1.01,underresolved,underresolved,marginal,4.255788625014247,0.4503710633973036,7.512435661016057,0.06915554898964447,0.5195266123869481,production_static,2.0
256,11.211305657408596,3.608224830031759e-16,0.9975005520650263,True,0.78125,broad_beam,45deg,0.044995920098456876,1.4988228795456398,1.0,marginal,,,,underresolved,,,,underresolved,none,0.056678089272892085,0.125,0.04579739846051837,1.3504951097927038,0.8080265063279457,reduced_nonlinear,0.053625744740142506,0.05498020748808549,"[0.28932188134524495, 0.28932188134524495]",False,"[70.71067811865476, -70.71067811865476]",1.28,0.8533333333333334,2.56,2.631228568361621e-14,-0.07131959022206313,0.9282209841005955,0.99359944307421,0.9222798528521469,1.01,underresolved,underresolved,marginal,6.3871561660198495,0.07131959022208992,12.139526641509192,0.006402389663159644,0.07772197988524956,production_static,2.0
256,8.918814376565852,1.5265566588595902e-16,0.9975005520650263,True,0.78125,broad_beam,45deg,0.03370359710843915,1.5859431145544347,1.0,marginal,,,,underresolved,,,,underresolved,none,0.056678089272892085,0.125,0.04579739846051837,1.3504951097927038,0.8080265063279457,reduced_linearized,0.053625744740142506,0.05498020748808549,"[0.28932188134524495, 0.28932188134524495]",False,"[70.71067811865476, -70.71067811865476]",1.28,0.8533333333333334,2.56,2.5868196473766147e-14,-0.05673613814845291,0.9428983796801349,0.99359944307421,0.9368633049257571,1.01,underresolved,underresolved,marginal,3.944929207995301,0.05673613814847926,9.861712756245987,0.006402389663159644,0.06313852781163891,production_static,2.0
